province,date,daily_rainfall,rain_anomaly_mm,rain_intensity_mm_h,daily_tmin,daily_tmax,daily_tmean,temp_anomaly_c,daily_pet,daily_et0,daily_relative_humidity,solar_radiation_w_m2,wind_speed_2m,seasonal_rain_3m,seasonal_rain_6m,relative_humidity_pct,wind_speed_2m_m_s,rainfall_intensity_mm_h,temp_anomaly_deg_c,rain_anomaly_pct,spi_1m,spi_3m,spi_6m,spi_12m,spi_24m,spei_1m,spei_3m,spei_6m,spei_12m,spei_24m
Eastern Cape,2001-01-01,0.0,-3.19,0.0,13.99,26.6,20.3,-0.73,1.2,1.14,60.2,103.97,3.06,0.0,0.0,36.9,2.45,0.0,-0.75,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-02,0.89,-2.47,0.21,12.44,27.53,19.98,-1.1,0.72,0.69,80.77,58.23,3.53,0.89,0.89,30.0,2.45,0.22,-1.12,-73.5,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-03,1.88,1.1,0.52,13.49,27.34,20.42,-0.44,0.82,0.78,79.01,67.93,3.04,2.77,2.77,30.8,2.45,0.47,-0.47,142.14,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-04,0.0,-1.23,0.0,14.4,25.24,19.82,-0.84,1.04,0.99,59.29,98.13,2.29,2.77,2.77,45.8,2.45,0.0,-0.88,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-05,0.0,-3.2,0.0,12.01,27.47,19.74,-1.19,1.38,1.31,53.55,109.59,2.28,2.77,2.77,30.0,2.45,0.0,-1.22,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-06,0.0,-3.36,0.0,14.87,26.1,20.48,-0.69,1.18,1.12,54.59,107.96,3.42,2.77,2.77,43.8,2.45,0.0,-0.71,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-07,0.0,-3.19,0.0,13.76,26.46,20.11,-1.14,1.27,1.21,53.08,110.31,2.42,2.77,2.77,36.5,2.45,0.0,-1.15,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-08,14.38,11.31,3.54,12.61,29.06,20.84,-0.61,1.07,1.02,73.43,80.04,2.9,17.15,17.15,30.0,2.45,3.6,-0.62,369.02,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-09,0.0,-2.18,0.0,10.95,28.3,19.62,-1.66,1.32,1.26,56.29,99.34,3.68,17.15,17.15,30.0,2.45,0.0,-1.67,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-10,30.27,26.73,8.56,13.21,28.69,20.95,-0.54,0.84,0.8,73.81,64.89,3.3,47.42,47.42,30.0,2.45,7.57,-0.55,756.25,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-11,0.0,-1.81,0.0,12.72,25.89,19.3,-1.92,1.24,1.18,56.05,108.02,3.62,47.42,47.42,34.2,2.45,0.0,-1.93,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-12,0.46,-3.65,0.1,13.27,29.9,21.58,-0.05,0.92,0.88,78.33,67.48,3.01,47.88,47.88,30.0,2.45,0.12,-0.05,-88.81,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-13,6.53,4.66,1.65,14.08,26.98,20.53,-0.83,0.75,0.71,76.76,63.44,2.88,54.41,54.41,35.5,2.45,1.63,-0.84,249.42,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-14,0.0,-2.24,0.0,13.47,28.36,20.92,-0.58,1.26,1.2,57.57,99.29,2.53,54.41,54.41,30.0,2.45,0.0,-0.59,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-15,0.0,-3.57,0.0,14.81,29.66,22.24,0.67,1.47,1.4,58.06,111.67,2.95,54.41,54.41,30.0,2.45,0.0,0.67,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-16,0.0,-3.11,0.0,13.75,26.08,19.92,-1.67,1.24,1.18,59.87,109.63,2.84,54.41,54.41,38.4,2.45,0.0,-1.67,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-17,0.0,-1.33,0.0,13.18,26.23,19.7,-1.72,1.22,1.16,54.45,105.58,3.49,54.41,54.41,34.8,2.45,0.0,-1.72,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-18,0.0,-1.5,0.0,16.7,29.19,22.94,0.88,1.39,1.32,53.68,113.2,2.49,54.41,54.41,37.5,2.45,0.0,0.9,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-19,0.0,-2.09,0.0,12.2,28.36,20.28,-1.25,1.56,1.49,60.28,119.96,2.62,54.41,54.41,30.0,2.45,0.0,-1.26,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-20,0.0,-2.79,0.0,12.83,28.33,20.58,-1.32,1.54,1.47,54.19,119.94,2.78,54.41,54.41,30.0,2.45,0.0,-1.31,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-21,0.0,-2.89,0.0,12.61,27.6,20.1,-1.72,1.61,1.53,58.91,128.59,3.0,54.41,54.41,30.0,2.45,0.0,-1.71,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-22,0.0,-2.04,0.0,14.56,26.79,20.68,-1.05,1.39,1.32,58.97,120.87,3.18,54.41,54.41,38.9,2.45,0.0,-1.05,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-23,0.0,-1.57,0.0,13.85,25.91,19.88,-1.69,1.27,1.21,57.01,114.13,2.66,54.41,54.41,39.7,2.45,0.0,-1.69,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-24,0.0,-1.04,0.0,14.17,28.95,21.56,-0.11,1.55,1.48,55.76,120.81,2.62,54.41,54.41,30.0,2.45,0.0,-0.11,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-25,0.0,-0.82,0.0,11.93,26.3,19.12,-2.58,1.47,1.4,59.03,123.01,4.25,54.41,54.41,30.0,2.45,0.0,-2.58,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-26,5.21,2.72,1.37,12.86,28.64,20.75,-0.92,1.04,0.99,82.14,79.64,3.22,59.62,59.62,30.0,2.45,1.3,-0.92,109.47,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-27,0.0,-1.88,0.0,14.32,27.95,21.14,-0.71,1.51,1.44,58.75,123.44,3.31,59.62,59.62,31.9,2.45,0.0,-0.7,-100.0,0.69,,,,,0.78,,,,
