province,season_year,season,seasonal_rainfall
Eastern Cape,2001,Autumn (MAM),133.4141843629359
Eastern Cape,2001,Spring (SON),214.6272604435371
Eastern Cape,2001,Summer (DJF),109.57690307946318
Eastern Cape,2001,Winter (JJA),35.95554064068487
Eastern Cape,2002,Autumn (MAM),115.65775678386363
Eastern Cape,2002,Spring (SON),121.24184706549862
Eastern Cape,2002,Summer (DJF),206.08190640218103
Eastern Cape,2002,Winter (JJA),100.717010200571
Eastern Cape,2003,Autumn (MAM),125.92498931824363
Eastern Cape,2003,Spring (SON),116.47064852262993
Eastern Cape,2003,Summer (DJF),189.1838927482605
Eastern Cape,2003,Winter (JJA),39.56254852818739
Eastern Cape,2004,Autumn (MAM),127.8406483942561
Eastern Cape,2004,Spring (SON),129.9959290721911
Eastern Cape,2004,Summer (DJF),201.54550389045542
Eastern Cape,2004,Winter (JJA),42.098205088731866
Eastern Cape,2005,Autumn (MAM),123.94055349828858
Eastern Cape,2005,Spring (SON),155.6195296635799
Eastern Cape,2005,Summer (DJF),263.42424753037994
Eastern Cape,2005,Winter (JJA),38.79968426741217
Eastern Cape,2006,Autumn (MAM),133.19911072746592
Eastern Cape,2006,Spring (SON),171.52431783715747
Eastern Cape,2006,Summer (DJF),228.4386393147357
Eastern Cape,2006,Winter (JJA),77.61552799261044
Eastern Cape,2007,Autumn (MAM),125.15110135410711
Eastern Cape,2007,Spring (SON),157.71652120043535
Eastern Cape,2007,Summer (DJF),157.09484251641138
Eastern Cape,2007,Winter (JJA),46.5819716983359
Eastern Cape,2008,Autumn (MAM),110.06776674803153
Eastern Cape,2008,Spring (SON),112.89847252414476
Eastern Cape,2008,Summer (DJF),243.03310202372452
Eastern Cape,2008,Winter (JJA),49.3477810796106
Eastern Cape,2009,Autumn (MAM),87.87897978569526
Eastern Cape,2009,Spring (SON),162.72439934948926
Eastern Cape,2009,Summer (DJF),215.36438320585717
Eastern Cape,2009,Winter (JJA),66.54692094915157
Eastern Cape,2010,Autumn (MAM),99.97818043697643
Eastern Cape,2010,Spring (SON),135.62562374047164
Eastern Cape,2010,Summer (DJF),207.02523377820978
Eastern Cape,2010,Winter (JJA),30.014392878467834
Eastern Cape,2011,Autumn (MAM),161.03580108190374
Eastern Cape,2011,Spring (SON),96.34468399225864
Eastern Cape,2011,Summer (DJF),237.35922979261252
Eastern Cape,2011,Winter (JJA),77.36490375235219
Eastern Cape,2012,Autumn (MAM),133.36082586872578
Eastern Cape,2012,Spring (SON),145.28726607244323
Eastern Cape,2012,Summer (DJF),214.55298938670933
Eastern Cape,2012,Winter (JJA),78.68387221925425
Eastern Cape,2013,Autumn (MAM),129.02698676146383
Eastern Cape,2013,Spring (SON),125.27486211591818
Eastern Cape,2013,Summer (DJF),191.05766421742558
Eastern Cape,2013,Winter (JJA),42.66858101700639
Eastern Cape,2014,Autumn (MAM),120.81791388679251
Eastern Cape,2014,Spring (SON),150.71049067926592
Eastern Cape,2014,Summer (DJF),229.55354706622037
Eastern Cape,2014,Winter (JJA),30.786594431473567
Eastern Cape,2015,Autumn (MAM),123.3321046103774
Eastern Cape,2015,Spring (SON),125.74135444669731
Eastern Cape,2015,Summer (DJF),187.37799950718062
Eastern Cape,2015,Winter (JJA),91.88478574314745
Eastern Cape,2016,Autumn (MAM),122.84788159321616
Eastern Cape,2016,Spring (SON),102.12836107949944
Eastern Cape,2016,Summer (DJF),172.363289813676
Eastern Cape,2016,Winter (JJA),65.51547763937933
Eastern Cape,2017,Autumn (MAM),92.37478277664911
Eastern Cape,2017,Spring (SON),147.20489077027236
Eastern Cape,2017,Summer (DJF),194.92687050405812
Eastern Cape,2017,Winter (JJA),36.29028865171224
Eastern Cape,2018,Autumn (MAM),150.741373961077
Eastern Cape,2018,Spring (SON),102.8760021987108
Eastern Cape,2018,Summer (DJF),240.52296916773378
Eastern Cape,2018,Winter (JJA),48.27111327711388
Eastern Cape,2019,Autumn (MAM),173.36584496566118
Eastern Cape,2019,Spring (SON),71.0672175341852
Eastern Cape,2019,Summer (DJF),181.46599006926866
Eastern Cape,2019,Winter (JJA),24.750593718120374
Eastern Cape,2020,Autumn (MAM),152.10139276838325
Eastern Cape,2020,Spring (SON),132.03046095411722
Eastern Cape,2020,Summer (DJF),228.0473761239806
Eastern Cape,2020,Winter (JJA),21.409015504307593
Eastern Cape,2021,Autumn (MAM),101.56725409562537
Eastern Cape,2021,Spring (SON),146.07525409883428
Eastern Cape,2021,Summer (DJF),186.98748961923562
Eastern Cape,2021,Winter (JJA),38.8256998477733
Eastern Cape,2022,Autumn (MAM),186.6241608786415
Eastern Cape,2022,Spring (SON),200.62170644478877
Eastern Cape,2022,Summer (DJF),248.406094595256
Eastern Cape,2022,Winter (JJA),52.33031687075599
Eastern Cape,2023,Autumn (MAM),154.9051934170312
Eastern Cape,2023,Spring (SON),157.1049124810776
Eastern Cape,2023,Summer (DJF),282.3394860426513
Eastern Cape,2023,Winter (JJA),61.80548009523522
Eastern Cape,2024,Autumn (MAM),121.26602067268328
Eastern Cape,2024,Spring (SON),148.082278798219
Eastern Cape,2024,Summer (DJF),163.29470067819832
Eastern Cape,2024,Winter (JJA),60.27730499027881
Eastern Cape,2025,Autumn (MAM),202.5234289936557
Eastern Cape,2025,Spring (SON),141.8161576335665
Eastern Cape,2025,Summer (DJF),133.6147945552572
Eastern Cape,2025,Winter (JJA),76.10055657738123
Eastern Cape,2026,Summer (DJF),67.13432121371353
Free State,2001,Autumn (MAM),156.12047138896617
Free State,2001,Spring (SON),218.2960854664559
Free State,2001,Summer (DJF),121.92043355572409
Free State,2001,Winter (JJA),30.906020056157658
Free State,2002,Autumn (MAM),104.51629111271123
Free State,2002,Spring (SON),94.57417074846136
Free State,2002,Summer (DJF),252.87063843078818
Free State,2002,Winter (JJA),59.60762093528114
Free State,2003,Autumn (MAM),97.2130357823962
Free State,2003,Spring (SON),123.38351781782445
